Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,level2CandidateGen,Complex Method,Cyclomatic complexity of the method is 9,26
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,level2CandidateGen,Long Statement,The length of the statement "if (Math.abs(MSGSPMain.SUP.get(L.get(i)).intValue() - MSGSPMain.SUP.get(L.get(j)).intValue()) <= MSGSPMain.SDC * MSGSPMain.N) {" is 127.,26
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,checkCondition,Magic Number,The method contains a magic number: 3,88
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,checkCondition,Magic Number,The method contains a magic number: 3,88
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,partition,Magic Number,The method contains a magic number: 2,104
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,testPair,Complex Conditional,The conditional expression tran.specialEqualTo(tr`1`tr.getItems().size() - 1) && MSGSPMain.MS.get(tran.getFirstItem()).doubleValue() < MSGSPMain.MS.get(tr.getLastItem()).doubleValue() && Math.abs(MSGSPMain.SUP.get(tran.getItems().get(1)).intValue() - MSGSPMain.SUP.get(tr.getLastItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N is complex.,121
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,testPair,Complex Conditional,The conditional expression tran.specialEqualTo(tr`tran.getItems().size() - 2`0) && MSGSPMain.MS.get(tr.getFirstItem()).doubleValue() > MSGSPMain.MS.get(tran.getLastItem()).doubleValue() && Math.abs(MSGSPMain.SUP.get(tran.getItems().get(tran.getItems().size() - 2)).intValue() - MSGSPMain.SUP.get(tr.getFirstItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N is complex.,121
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,testPair,Long Statement,The length of the statement "if (tran.specialEqualTo(tr`1`tr.getItems().size() - 1) && MSGSPMain.MS.get(tran.getFirstItem()).doubleValue() < MSGSPMain.MS.get(tr.getLastItem()).doubleValue() && Math.abs(MSGSPMain.SUP.get(tran.getItems().get(1)).intValue() - MSGSPMain.SUP.get(tr.getLastItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N) result=true;" is 320.,121
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,testPair,Long Statement,The length of the statement "if (tran.specialEqualTo(tr`tran.getItems().size() - 2`0) && MSGSPMain.MS.get(tr.getFirstItem()).doubleValue() > MSGSPMain.MS.get(tran.getLastItem()).doubleValue() && Math.abs(MSGSPMain.SUP.get(tran.getItems().get(tran.getItems().size() - 2)).intValue() - MSGSPMain.SUP.get(tr.getFirstItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N) result=true;" is 348.,121
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,testPair,Long Statement,The length of the statement "if (tran.specialEqualTo(tr`0`tr.getItems().size() - 1) && Math.abs(MSGSPMain.SUP.get(tran.getFirstItem()).intValue() - MSGSPMain.SUP.get(tr.getLastItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N) result=true;" is 211.,121
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,testPair,Magic Number,The method contains a magic number: 2,121
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,testPair,Magic Number,The method contains a magic number: 2,121
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,testPair,Magic Number,The method contains a magic number: 2,121
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,testPair,Magic Number,The method contains a magic number: 3,121
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Complex Conditional,The conditional expression trans.itemSets.size() == 2 && trans.getItems().size() == 2 && trans.getLastItem().toString().compareTo(tr.getLastItem().toString()) < 0 is complex.,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Complex Conditional,The conditional expression trans.getItems().size() > 2 || (trans.itemSets.size() == 1 && trans.getItems().size() == 2 && trans.getLastItem().toString().compareTo(tr.getLastItem().toString()) < 0) is complex.,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Complex Conditional,The conditional expression trans.reverse().itemSets.size() == 2 && trans.reverse().getItems().size() == 2 && trans.reverse().getLastItem().toString().compareTo(tr.reverse().getLastItem().toString()) < 0 is complex.,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Complex Conditional,The conditional expression trans.reverse().getItems().size() > 2 || (trans.reverse().itemSets.size() == 1 && trans.reverse().getItems().size() == 2 && trans.reverse().getLastItem().toString().compareTo(tr.reverse().getLastItem().toString()) < 0) is complex.,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Complex Method,Cyclomatic complexity of the method is 11,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Long Statement,The length of the statement "if (trans.itemSets.size() == 2 && trans.getItems().size() == 2 && trans.getLastItem().toString().compareTo(tr.getLastItem().toString()) < 0) {" is 142.,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Long Statement,The length of the statement "else if (trans.getItems().size() > 2 || (trans.itemSets.size() == 1 && trans.getItems().size() == 2 && trans.getLastItem().toString().compareTo(tr.getLastItem().toString()) < 0)) {" is 180.,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Long Statement,The length of the statement "if (trans.reverse().itemSets.size() == 2 && trans.reverse().getItems().size() == 2 && trans.reverse().getLastItem().toString().compareTo(tr.reverse().getLastItem().toString()) < 0) {" is 182.,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Long Statement,The length of the statement "else if (trans.reverse().getItems().size() > 2 || (trans.reverse().itemSets.size() == 1 && trans.reverse().getItems().size() == 2 && trans.reverse().getLastItem().toString().compareTo(tr.reverse().getLastItem().toString()) < 0)) {" is 230.,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,joinSequences,Magic Number,The method contains a magic number: 3,152
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,prune,Complex Method,Cyclomatic complexity of the method is 11,222
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,Input,readParameters,Magic Number,The method contains a magic number: 2,21
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,Input,readParameters,Magic Number,The method contains a magic number: 2,21
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,Level2CandidateGen,level2CandidateGen,Complex Method,Cyclomatic complexity of the method is 9,7
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,Level2CandidateGen,level2CandidateGen,Long Statement,The length of the statement "if (Math.abs(MSGSPMain.SUP.get(L.get(i)).intValue() - MSGSPMain.SUP.get(L.get(j)).intValue()) <= MSGSPMain.SDC * MSGSPMain.N) {" is 127.,7
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,checkCondition,Magic Number,The method contains a magic number: 3,21
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,checkCondition,Magic Number,The method contains a magic number: 3,21
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,partition,Magic Number,The method contains a magic number: 2,37
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,testPair,Complex Conditional,The conditional expression tran.specialEqualTo(tr`1`tr.getItems().size() - 1) && MSGSPMain.MS.get(tran.getFirstItem()).doubleValue() < MSGSPMain.MS.get(tr.getLastItem()).doubleValue() && Math.abs(MSGSPMain.SUP.get(tran.getItems().get(1)).intValue() - MSGSPMain.SUP.get(tr.getLastItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N is complex.,54
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,testPair,Complex Conditional,The conditional expression tran.specialEqualTo(tr`tran.getItems().size() - 2`0) && MSGSPMain.MS.get(tr.getFirstItem()).doubleValue() > MSGSPMain.MS.get(tran.getLastItem()).doubleValue() && Math.abs(MSGSPMain.SUP.get(tran.getItems().get(tran.getItems().size() - 2)).intValue() - MSGSPMain.SUP.get(tr.getFirstItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N is complex.,54
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,testPair,Long Statement,The length of the statement "if (tran.specialEqualTo(tr`1`tr.getItems().size() - 1) && MSGSPMain.MS.get(tran.getFirstItem()).doubleValue() < MSGSPMain.MS.get(tr.getLastItem()).doubleValue() && Math.abs(MSGSPMain.SUP.get(tran.getItems().get(1)).intValue() - MSGSPMain.SUP.get(tr.getLastItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N) result=true;" is 320.,54
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,testPair,Long Statement,The length of the statement "if (tran.specialEqualTo(tr`tran.getItems().size() - 2`0) && MSGSPMain.MS.get(tr.getFirstItem()).doubleValue() > MSGSPMain.MS.get(tran.getLastItem()).doubleValue() && Math.abs(MSGSPMain.SUP.get(tran.getItems().get(tran.getItems().size() - 2)).intValue() - MSGSPMain.SUP.get(tr.getFirstItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N) result=true;" is 348.,54
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,testPair,Long Statement,The length of the statement "if (tran.specialEqualTo(tr`0`tr.getItems().size() - 1) && Math.abs(MSGSPMain.SUP.get(tran.getFirstItem()).intValue() - MSGSPMain.SUP.get(tr.getLastItem()).intValue()) <= MSGSPMain.SDC * MSGSPMain.N) result=true;" is 211.,54
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,testPair,Magic Number,The method contains a magic number: 2,54
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,testPair,Magic Number,The method contains a magic number: 2,54
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,testPair,Magic Number,The method contains a magic number: 2,54
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,testPair,Magic Number,The method contains a magic number: 3,54
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Complex Conditional,The conditional expression trans.itemSets.size() == 2 && trans.getItems().size() == 2 && trans.getLastItem().toString().compareTo(tr.getLastItem().toString()) < 0 is complex.,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Complex Conditional,The conditional expression trans.getItems().size() > 2 || (trans.itemSets.size() == 1 && trans.getItems().size() == 2 && trans.getLastItem().toString().compareTo(tr.getLastItem().toString()) < 0) is complex.,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Complex Conditional,The conditional expression trans.reverse().itemSets.size() == 2 && trans.reverse().getItems().size() == 2 && trans.reverse().getLastItem().toString().compareTo(tr.reverse().getLastItem().toString()) < 0 is complex.,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Complex Conditional,The conditional expression trans.reverse().getItems().size() > 2 || (trans.reverse().itemSets.size() == 1 && trans.reverse().getItems().size() == 2 && trans.reverse().getLastItem().toString().compareTo(tr.reverse().getLastItem().toString()) < 0) is complex.,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Complex Method,Cyclomatic complexity of the method is 11,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Long Statement,The length of the statement "if (trans.itemSets.size() == 2 && trans.getItems().size() == 2 && trans.getLastItem().toString().compareTo(tr.getLastItem().toString()) < 0) {" is 142.,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Long Statement,The length of the statement "else if (trans.getItems().size() > 2 || (trans.itemSets.size() == 1 && trans.getItems().size() == 2 && trans.getLastItem().toString().compareTo(tr.getLastItem().toString()) < 0)) {" is 180.,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Long Statement,The length of the statement "if (trans.reverse().itemSets.size() == 2 && trans.reverse().getItems().size() == 2 && trans.reverse().getLastItem().toString().compareTo(tr.reverse().getLastItem().toString()) < 0) {" is 182.,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Long Statement,The length of the statement "else if (trans.reverse().getItems().size() > 2 || (trans.reverse().itemSets.size() == 1 && trans.reverse().getItems().size() == 2 && trans.reverse().getLastItem().toString().compareTo(tr.reverse().getLastItem().toString()) < 0)) {" is 230.,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 2,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,joinSequences,Magic Number,The method contains a magic number: 3,85
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSCandidateGen,prune,Complex Method,Cyclomatic complexity of the method is 11,155
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSGSPMain,msgsp,Complex Method,Cyclomatic complexity of the method is 10,82
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSGSPMain,msgsp,Magic Number,The method contains a magic number: 2,82
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSGSPMain,msgsp,Magic Number,The method contains a magic number: 2,82
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,MSGSPMain,initPass,Complex Method,Cyclomatic complexity of the method is 8,166
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,TransactionData,specialEqualTo,Complex Conditional,The conditional expression current.containedIn(compare) && s12 == s22 && l12 == l22 is complex.,78
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,TransactionData,specialEqualTo,Complex Method,Cyclomatic complexity of the method is 8,78
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,TransactionData,equals,Complex Conditional,The conditional expression this.containedIn(trans) && this.itemSets.size() == trans.itemSets.size() && this.getItems().size() == trans.getItems().size() is complex.,214
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,TransactionData,equals,Long Statement,The length of the statement "if (this.containedIn(trans) && this.itemSets.size() == trans.itemSets.size() && this.getItems().size() == trans.getItems().size()) result=true;" is 143.,214
