Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchRecursive5,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchRecursive4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testbinarySearchRecursive3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchRecursive2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchRecursive1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup5,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch5,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALineTest,testCoinsInALine5,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALineTest,testCoinsInALine4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALineTest,testCoinsInALine3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALineTest,testCoinsInALine2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
