Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
rmsor_waa_practice,net.mumde.cs545,TableServlet,doGet,Magic Number,The method contains a magic number: 23,13
rmsor_waa_practice,net.mumde.cs545,TableServlet,doGet,Magic Number,The method contains a magic number: 33,13
rmsor_waa_practice,net.mumde.cs545,TableServlet,doGet,Magic Number,The method contains a magic number: 18,13
rmsor_waa_practice,com.example.model,Tea,Tea,Long Parameter List,The method has 7 parameters. ,21
rmsor_waa_practice,com.example.model,TeaExpert,TeaExpert,Long Statement,The length of the statement "teaList.put("Green Tea"`new Tea("Green Tea"`"Over the last few decades green tea has been subjected to many scientific and medical studies to determine the extent of its long-purported health benefits` with some evidence suggesting that regular green tea drinkers have lower chances of heart disease and developing certain types of cancer."`"30 mg/cup"`"Green tea can reduce the risk of cardiovascular disease` dental cavities` kidney stones` and cancer` while improving bone density and cognitive function. However` the human studies are inconsistent. Green tea consumption is associated with reduced heart disease in epidemiological studies."`"75-80 °C (167-176 °F)"`"1–2 minutes"`"Aracha` Bancha` Bi Luo Chun` Chun Mee` Da Fang` Genmaicha` Guapian` Gunpowder` Gyokuro` Hojicha` Hou Kui` Huang Shan Mao Feng` Kabusecha` mairicha` Konacha` Kukicha` Longjing` Matcha` Mao Jian` Mecha` Meng Ding Gan Lu` Sencha` Shincha` Tamaryokucha"));" is 936.,16
rmsor_waa_practice,com.example.model,Tea,Tea,Long Parameter List,The method has 5 parameters. ,24
rmsor_waa_practice,com.example.model,TeaExpert,TeaExpert,Long Statement,The length of the statement "teaList.add(new Tea("Silve Needle White Tea"`"Rarity and fame cloak our legendary Silver Needle white tea downy buds` which hold the highest of honors as one of the top teas in China. Reserved for the Chinese Imperial family for centuries` this tea is reverently hand-harvested only two days of the entire year. The leaves are uniquely beautiful and silver tipped exuding royalty and an exceptional soft` smooth` sweet-silky luxuriousness. "`15.00`whiteTea`"silverneedlewhitetea.jpg"));" is 486.,15
rmsor_waa_practice,com.example.model,TeaExpert,TeaExpert,Long Statement,The length of the statement "teaList.add(new Tea("Flowering Pineapple Blooming White Tea"`"A truly artisanal white tea that unfurls into an ethereal display of exquisite flavor and beauty. Each hand-tied tea ball blooms with a crown of marigold flowers gently scented with luscious pineapple and can be infused three to five times. "`10.00`whiteTea`"FloweringPineappleBloomingWhiteTea.jpg"));" is 363.,15
rmsor_waa_practice,com.example.model,TeaExpert,TeaExpert,Long Statement,The length of the statement "teaList.add(new Tea("Youthberry White Tea"`"Delicate white tea gets its youthful blush from red currants` açai berry` hibiscus and rose petals. Candied pineapple and mango pieces mingle with Fuji and golden delicious apples in this sweetly timeless elixir. "`20.00`whiteTea`"youthberrywhitetea.jpg"));" is 301.,15
rmsor_waa_practice,com.example.model,TeaExpert,TeaExpert,Magic Number,The method contains a magic number: 15.00,15
